R4-00293|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\dto\DtoMapper.java|259-264|B|P1|toInstant 使用 ZoneId.systemDefault() 将 LocalDateTime 转 UTC Instant（DTO 声称 UTC 无歧义）|JVM 时区与 DB（Asia/Shanghai）不一致时全部时间戳偏移 8 小时|显式指定 Asia/Shanghai 时区转换|open|batch-2|
R4-01082|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\admin\AdminSensitiveWordController.java|119|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(entity.setCreatedAt(LocalDateTime.now()|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01083|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\config\JwtTokenProvider.java|113|B|P2|Instant.now() 未显式指定 ZoneId（JVM 默认时区）(Instant now = Instant.now();)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01084|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\config\JwtTokenProvider.java|176|B|P2|Instant.now() 未显式指定 ZoneId（JVM 默认时区）(long remainingMs = expiration.toEpochM)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01085|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\config\JwtTokenProvider.java|306|B|P2|Instant.now() 未显式指定 ZoneId（JVM 默认时区）(long remainingMs = expiration.toEpochM)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01086|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\config\JwtTokenProvider.java|417|B|P2|Instant.now() 未显式指定 ZoneId（JVM 默认时区）(if (expiration == null 或 expiration.i)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01087|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\admin\AdminUserController.java|135|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime now = LocalDateTime.now()|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01088|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\admin\AdminUserController.java|205|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime now = LocalDateTime.now()|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01089|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\admin\AdminUserController.java|405|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(user.setUpdatedAt(LocalDateTime.now()))|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01090|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\admin\AdminUserController.java|471|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(user.setUpdatedAt(LocalDateTime.now()))|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01091|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\wallet\WalletServiceImpl.java|151|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(wallet.setUpdatedAt(LocalDateTime.now()|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01092|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\wallet\WalletServiceImpl.java|224|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(wallet.setUpdatedAt(LocalDateTime.now()|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01093|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\wallet\WalletServiceImpl.java|301|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime now = LocalDateTime.now()|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01094|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\wallet\WalletServiceImpl.java|344|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime now = LocalDateTime.now()|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01095|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\admin\AdminVillagePostController.java|220|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(post.setAuditedAt(LocalDateTime.now()))|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01096|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\admin\AdminVillagePostController.java|221|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(post.setUpdatedAt(LocalDateTime.now()))|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01097|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\admin\AdminVillagePostController.java|288|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(post.setUpdatedAt(LocalDateTime.now()))|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01098|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\admin\AdminVillagePostController.java|323|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(post.setUpdatedAt(LocalDateTime.now()))|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01099|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\report\ReportController.java|74|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime dayStart = LocalDateTime)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01100|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\report\ReportController.java|88|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(report.setCreatedAt(LocalDateTime.now()|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01101|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\wallet\WalletController.java|202|B|P2|LocalDate.now() 未显式指定 ZoneId（JVM 默认时区）(String dateKey = LocalDate.now().forma)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01102|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\report\ErrorReportController.java|69|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(report.setCreatedAt(LocalDateTime.now()|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01103|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\wallet\MockWalletServiceImpl.java|126|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(orderId, relatedType, relatedId, remar)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01104|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\admin\SensitiveWordImportService.java|211|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime now = LocalDateTime.now()|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01105|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\admin\RealAdminStatsService.java|88|B|P2|LocalDate.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime startOfToday = LocalDate)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01106|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\admin\RealAdminStatsService.java|147|B|P2|LocalDate.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime startOfToday = LocalDate)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01107|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\admin\RealAdminStatsService.java|179|B|P2|LocalDate.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime from = LocalDate.now().a)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01108|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\admin\RealAdminStatsService.java|180|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime to = LocalDateTime.now())|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01109|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\admin\RealAdminMatchConfigService.java|92|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime now = LocalDateTime.now()|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01110|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\admin\RealAdminMatchConfigService.java|153|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime now = LocalDateTime.now()|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01111|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\vip\PromoCodeService.java|155|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(usage.setUsedAt(LocalDateTime.now());)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01112|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\vip\PromoCodeService.java|204|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime now = LocalDateTime.now()|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01113|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\admin\RealAdminConfigService.java|126|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(config.setUpdatedAt(LocalDateTime.now()|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01114|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\admin\RealAdminConfigService.java|183|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(rule.setUpdatedAt(LocalDateTime.now()))|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01115|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\admin\RealAdminConfigService.java|212|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(sw.setUpdatedAt(LocalDateTime.now());)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01116|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\profile\ProfileVisitorController.java|195|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime.now().format(FORMATTER)))|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01117|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\profile\ProfileVisitorController.java|205|B|P2|LocalDate.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDate today = LocalDate.now();)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01118|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\profile\ProfileVisitorController.java|220|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime.now().format(FORMATTER))|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01119|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\profile\ProfileVisitorController.java|225|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(ProfileVisitor record = new ProfileVis)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01120|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\discover\RealDailyQuestionService.java|76|B|P2|now() 未显式指定 ZoneId（JVM 默认时区）(key = "#userId + ':' + T(java.time.Loc)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01121|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\discover\RealDailyQuestionService.java|78|B|P2|LocalDate.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDate today = LocalDate.now();)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01122|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\discover\RealDailyQuestionService.java|125|B|P2|now() 未显式指定 ZoneId（JVM 默认时区）(key = "#userId + ':' + T(java.time.Loc)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01123|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\discover\RealDailyQuestionService.java|151|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime now = LocalDateTime.now()|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01124|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\discover\UserPreferenceCalculator.java|89|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime now = LocalDateTime.now()|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01125|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\discover\UserPreferenceCalculator.java|135|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime now = LocalDateTime.now()|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01126|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\profile\ProfileUpdateService.java|115|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime now = LocalDateTime.now()|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01127|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\profile\ProfileUpdateService.java|205|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(user.setUpdatedAt(LocalDateTime.now()))|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01128|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\profile\ProfileUpdateService.java|209|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(profile.setUpdatedAt(LocalDateTime.now)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01129|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\profile\ProfileUpdateService.java|224|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(profile.setUpdatedAt(LocalDateTime.now)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01130|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\profile\ProfileUpdateService.java|252|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(profile.setUpdatedAt(LocalDateTime.now)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01131|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\profile\ProfileUpdateService.java|278|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(profile.setUpdatedAt(LocalDateTime.now)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01132|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\profile\ProfileUpdateService.java|294|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(profile.setUpdatedAt(LocalDateTime.now)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01133|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\profile\ProfileUpdateService.java|310|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(profile.setUpdatedAt(LocalDateTime.now)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01134|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\profile\ProfileUpdateService.java|325|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime now = LocalDateTime.now()|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01135|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\profile\ProfileUpdateService.java|367|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime now = LocalDateTime.now()|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01136|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\profile\ProfileUpdateService.java|471|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(newProfile.setCreatedAt(LocalDateTime.)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01137|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\discover\RealCircleService.java|223|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(membership.setJoinedAt(LocalDateTime.n)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01138|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\discover\RealCircleService.java|373|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime now = LocalDateTime.now()|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01139|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\discover\RealCircleService.java|445|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime now = LocalDateTime.now()|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01140|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\growth\WeChatPushService.java|268|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(data.put("time3", new TemplateDataItem)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01141|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\growth\WeChatPushService.java|292|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(data.put("time3", new TemplateDataItem)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01142|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\discover\RealActivityService.java|138|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime now = LocalDateTime.now()|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01143|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\discover\RecommendationStrategy.java|499|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime since = LocalDateTime.no)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01144|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\profile\FollowService.java|76|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime now = LocalDateTime.now()|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01145|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\profile\FollowService.java|133|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime now = LocalDateTime.now()|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01146|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\discover\MockRecommendationService.java|101|B|P2|LocalDate.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDate.now().plusDays(1),)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01147|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\discover\RecommendationRanker.java|415|B|P2|Year.now() 未显式指定 ZoneId（JVM 默认时区）(? Year.now().getValue() - basicProfile)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01148|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\growth\RecommendQuotaService.java|104|B|P2|LocalDate.now() 未显式指定 ZoneId（JVM 默认时区）(String dateKey = LocalDate.now().forma)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01149|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\growth\RecommendQuotaService.java|129|B|P2|LocalDate.now() 未显式指定 ZoneId（JVM 默认时区）(String dateKey = LocalDate.now().forma)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01150|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\discover\MockDailyQuestionService.java|32|B|P2|LocalDate.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDate today = LocalDate.now();)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01151|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\discover\MockDailyQuestionService.java|128|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime.now().minusHours(1),)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01152|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\discover\MockDailyQuestionService.java|138|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime.now().minusHours(2),)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01153|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\discover\MockDailyQuestionService.java|148|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime.now().minusHours(3),)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01154|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\discover\MockDailyQuestionService.java|168|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime.now(),)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
