R4-00435|d:\6\恋爱小程序\apps\admin\src\api\http.ts|12-18,89|B|P1|JWT 明文存于 localStorage（getToken 读 admin_v2_token），无 HttpOnly Cookie/刷新机制，任何 XSS 可窃取管理员令牌（注释自认"改进方向需后端协同"但未实施）|管理后台令牌泄露即全站运营权限沦陷，XSS 链一旦存在则无任何缓解|迁移 HttpOnly Cookie+CSRF 或短 token+refresh 双 token 机制|open|batch-2|
R4-02031|d:\6\恋爱小程序\apps\admin\src\views\forum\InterestCircles.vue|146|H|P2|硬编码中文用户可见文案未走 $t()/t()（圈名不能为空）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02032|d:\6\恋爱小程序\apps\admin\src\views\forum\InterestCircles.vue|155|H|P2|硬编码中文用户可见文案未走 $t()/t()（排序权重必须为整数）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02033|d:\6\恋爱小程序\apps\admin\src\views\forum\InterestCircles.vue|208|H|P2|硬编码中文用户可见文案未走 $t()/t()（该圈子下存在话题，请先处理话题后再删除）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02034|d:\6\恋爱小程序\apps\admin\src\views\forum\InterestCircles.vue|236|H|P2|硬编码中文用户可见文案未走 $t()/t()（维护兴趣圈基本信息与排序）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02035|d:\6\恋爱小程序\apps\admin\src\views\forum\InterestCircles.vue|272|H|P2|硬编码中文用户可见文案未走 $t()/t()（暂无兴趣圈数据）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02036|d:\6\恋爱小程序\apps\admin\src\views\forum\InterestCircles.vue|306|H|P2|硬编码中文用户可见文案未走 $t()/t()（圈名（表单标签））|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02037|d:\6\恋爱小程序\apps\admin\src\views\forum\VillagePosts.vue|77|H|P2|硬编码中文用户可见文案未走 $t()/t()（加载村落动态失败）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02038|d:\6\恋爱小程序\apps\admin\src\views\forum\VillagePosts.vue|142|H|P2|硬编码中文用户可见文案未走 $t()/t()（拒绝时必须填写备注（拒绝原因））|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02039|d:\6\恋爱小程序\apps\admin\src\views\forum\VillagePosts.vue|335|H|P2|硬编码中文用户可见文案未走 $t()/t()（用户# 兜底昵称）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02040|d:\6\恋爱小程序\apps\admin\src\views\forum\VillagePosts.vue|342|H|P2|硬编码中文用户可见文案未走 $t()/t()（分类标签：兴趣/真诚/家乡/匿名/校园/最新/全部）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02041|d:\6\恋爱小程序\apps\admin\src\views\forum\VillagePosts.vue|397|H|P2|硬编码中文用户可见文案未走 $t()/t()（审核与管理用户发布的村落动态）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02042|d:\6\恋爱小程序\apps\admin\src\views\forum\VillagePosts.vue|445|H|P2|硬编码中文用户可见文案未走 $t()/t()（暂无村落动态数据）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02043|d:\6\恋爱小程序\apps\admin\src\views\forum\VillagePosts.vue|456|H|P2|硬编码中文用户可见文案未走 $t()/t()（赞/藏/看 统计）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02044|d:\6\恋爱小程序\apps\admin\src\views\forum\VillagePosts.vue|502|H|P2|硬编码中文用户可见文案未走 $t()/t()（删除村落动态（确认弹窗标题））|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02045|d:\6\恋爱小程序\apps\admin\src\views\forum\VillagePosts.vue|518|H|P2|硬编码中文用户可见文案未走 $t()/t()（审核帖子（弹窗标题））|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02046|d:\6\恋爱小程序\apps\admin\src\views\forum\VillagePosts.vue|604|H|P2|硬编码中文用户可见文案未走 $t()/t()（帖子浏览记录（弹窗标题））|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02047|d:\6\恋爱小程序\apps\admin\src\views\system\Dicts.vue|88|H|P2|硬编码中文用户可见文案未走 $t()/t()（字典名称不能为空）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02048|d:\6\恋爱小程序\apps\admin\src\views\system\Dicts.vue|92|H|P2|硬编码中文用户可见文案未走 $t()/t()（字典编码不能为空）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02049|d:\6\恋爱小程序\apps\admin\src\views\system\Dicts.vue|296|H|P2|硬编码中文用户可见文案未走 $t()/t()（字典管理）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02050|d:\6\恋爱小程序\apps\admin\src\views\system\Dicts.vue|324|H|P2|硬编码中文用户可见文案未走 $t()/t()（暂无字典，点击「新增字典」创建）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02051|d:\6\恋爱小程序\apps\admin\src\views\system\Dicts.vue|402|H|P2|硬编码中文用户可见文案未走 $t()/t()（新增字典/编辑字典）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02052|d:\6\恋爱小程序\apps\admin\src\views\system\Dicts.vue|406|H|P2|硬编码中文用户可见文案未走 $t()/t()（如：性别）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02053|d:\6\恋爱小程序\apps\admin\src\views\system\Dicts.vue|471|H|P2|硬编码中文用户可见文案未走 $t()/t()（删除字典）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02054|d:\6\恋爱小程序\apps\admin\src\views\system\Menus.vue|174|H|P2|硬编码中文用户可见文案未走 $t()/t()（菜单标题不能为空）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02055|d:\6\恋爱小程序\apps\admin\src\views\system\Menus.vue|178|H|P2|硬编码中文用户可见文案未走 $t()/t()（路由名称（name）不能为空）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02056|d:\6\恋爱小程序\apps\admin\src\views\system\Menus.vue|250|H|P2|硬编码中文用户可见文案未走 $t()/t()（目录（类型标签））|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02057|d:\6\恋爱小程序\apps\admin\src\views\system\Menus.vue|263|H|P2|硬编码中文用户可见文案未走 $t()/t()（菜单管理）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02058|d:\6\恋爱小程序\apps\admin\src\views\system\Menus.vue|296|H|P2|硬编码中文用户可见文案未走 $t()/t()（暂无菜单，点击「新增顶级菜单」创建）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02059|d:\6\恋爱小程序\apps\admin\src\views\system\Menus.vue|339|H|P2|硬编码中文用户可见文案未走 $t()/t()（新增菜单/编辑菜单）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02060|d:\6\恋爱小程序\apps\admin\src\views\system\Menus.vue|419|H|P2|硬编码中文用户可见文案未走 $t()/t()（删除菜单）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02061|d:\6\恋爱小程序\apps\admin\src\views\system\Roles.vue|122|H|P2|硬编码中文用户可见文案未走 $t()/t()（角色名称不能为空）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02062|d:\6\恋爱小程序\apps\admin\src\views\system\Roles.vue|126|H|P2|硬编码中文用户可见文案未走 $t()/t()（角色编码不能为空）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02063|d:\6\恋爱小程序\apps\admin\src\views\system\Roles.vue|293|H|P2|硬编码中文用户可见文案未走 $t()/t()（角色管理）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02064|d:\6\恋爱小程序\apps\admin\src\views\system\Roles.vue|323|H|P2|硬编码中文用户可见文案未走 $t()/t()（暂无角色，点击「新增角色」创建）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02065|d:\6\恋爱小程序\apps\admin\src\views\system\Roles.vue|352|H|P2|硬编码中文用户可见文案未走 $t()/t()（新增角色/编辑角色）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02066|d:\6\恋爱小程序\apps\admin\src\views\system\Roles.vue|447|H|P2|硬编码中文用户可见文案未走 $t()/t()（确定要删除角色…（内置角色不允许删除））|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02067|d:\6\恋爱小程序\apps\admin\src\views\system\Schools.vue|122|H|P2|硬编码中文用户可见文案未走 $t()/t()（高校名称不能为空）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02068|d:\6\恋爱小程序\apps\admin\src\views\system\Schools.vue|176|H|P2|硬编码中文用户可见文案未走 $t()/t()（状态切换失败）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02069|d:\6\恋爱小程序\apps\admin\src\views\system\Schools.vue|219|H|P2|硬编码中文用户可见文案未走 $t()/t()（学校管理）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02070|d:\6\恋爱小程序\apps\admin\src\views\system\Schools.vue|264|H|P2|硬编码中文用户可见文案未走 $t()/t()（暂无高校，点击「新增高校」创建）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02071|d:\6\恋爱小程序\apps\admin\src\views\system\Schools.vue|306|H|P2|硬编码中文用户可见文案未走 $t()/t()（新增高校/编辑高校）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02072|d:\6\恋爱小程序\apps\admin\src\views\system\Schools.vue|309|H|P2|硬编码中文用户可见文案未走 $t()/t()（如：南京大学）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02073|d:\6\恋爱小程序\apps\admin\src\views\system\Admins.vue|363|H|P2|硬编码中文用户可见文案未走 $t()/t()（请选择管辖校区）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02074|d:\6\恋爱小程序\apps\admin\src\views\system\Admins.vue|369|H|P2|硬编码中文用户可见文案未走 $t()/t()（暂无启用中的高校，请先在「学校管理」中启用高校）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02075|d:\6\恋爱小程序\apps\admin\src\views\system\AuditLogs.vue|299|H|P2|硬编码中文用户可见文案未走 $t()/t()（目标类型/目标ID/错误信息（表头））|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02076|d:\6\恋爱小程序\apps\admin\src\views\content\SensitiveWords.vue|214|H|P2|硬编码中文用户可见文案未走 $t()/t()（仅超级管理员可新增/删除敏感词）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02077|d:\6\恋爱小程序\apps\admin\src\views\config\Config.vue|221|H|P2|硬编码中文用户可见文案未走 $t()/t()（仅超级管理员可修改配置，当前账号（校区管理员）为只读）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
R4-02078|d:\6\恋爱小程序\apps\admin\src\views\config\MatchConfig.vue|257|H|P2|硬编码中文用户可见文案未走 $t()/t()（仅超级管理员可修改配置，当前账号（校区管理员）为只读）|Admin 界面无法完整国际化（en-US 下仍显示中文），i18n 覆盖不一致，新增语言/多租户文案成本高|迁入 i18n locales（zh-CN/en-US）并改用 $t()/t() 渲染|open|batch-2|
